"","clo","tOut","tInOp","sex","subjId","time","day"
"250",0.5,25.70191667,28.4190526,"female",63,1.45,3
"251",0.91,14.9,23.39725,"female",65,0,1
"252",0.91,14.9,23.67749993,"female",65,0.533333333333333,1
"253",0.71,17.9075,24.96156444,"female",65,1.85,1
"254",0.71,17.5526,24.69574953,"female",65,1,1
"255",0.71,18.0852,24.82837638,"female",65,1.13333333333333,1
"256",0.71,19.70796667,25.61424128,"female",65,1.5,1
"257",0.68,12.7,24.15713634,"female",65,0,2
"258",0.68,13.68933333,25.47197245,"female",65,1.23333333333333,2
"259",0.68,17.1256,27.19903781,"female",65,1.5,2
"260",0.68,16.72986667,27.34405721,"female",65,1.43333333333333,2
"261",0.68,16.486,27.52818793,"female",65,1.28333333333333,2
"262",0.68,17.1102,28.19240534,"female",65,1.41666666666667,2
"263",0.83,12.4,25.21859177,"female",65,0,3
"264",0.83,13.0875,26.24442973,"female",65,1.35,3
"265",0.83,13.53758333,24.58571243,"female",65,1.4,3
"266",0.83,13.70036667,24.33253655,"female",65,1.25,3
"267",0.83,13.9,24.37479818,"female",65,1.23333333333333,3
"268",0.83,14,24.37383867,"female",65,1.78333333333333,3
"269",0.48,17.7889,26.10885432,"male",69,0,1
"270",0.48,17.96765,26.92303838,"male",69,1.25,1
"271",0.48,18.4,27.73441237,"male",69,1.51666666666667,1
"272",0.48,20.00386667,28.34241326,"male",69,1.26666666666667,1
"273",0.48,22.09853333,29.54525647,"male",69,1.16666666666667,1
"274",0.48,22.3917,30.05990083,"male",69,1.48333333333333,1
"275",0.48,21.4,26.70196215,"male",69,0,2
"276",0.44,21.9965,27.35037024,"male",69,1.21666666666667,2
"277",0.44,22.6,28.24537882,"male",69,1.5,2
"278",0.44,23.441,28.78665461,"male",69,1.25,2
"279",0.44,25.5,30.06607447,"male",69,1.28333333333333,2
"280",0.44,25.9,30.71856273,"male",69,1.51666666666667,2
"281",0.29,24.2,26.69347564,"male",69,0,3
"282",0.25,26.106,27.47902812,"male",69,1.31666666666667,3
"283",0.25,28.2285,28.3621999,"male",69,1.33333333333333,3
"284",0.25,28.458,28.93083285,"male",69,1.45,3
"285",0.25,28.4872,29.29419546,"male",69,1.11666666666667,3
"286",0.25,31,30.30748821,"male",69,1.5,3
"287",0.56,17.21343333,24.97856222,"female",71,0,1
"288",0.56,18.66235,26.56033605,"female",71,1.31666666666667,1
"289",0.56,19.1636,27.5345861,"female",71,1.43333333333333,1
"290",0.56,20.5252,27.96328595,"female",71,1.36666666666667,1
"291",0.56,21.9534,29.43988283,"female",71,1.1,1
"292",0.56,22.76,30.32253545,"female",71,1.48333333333333,1
"293",0.46,20.1114,25.73935367,"female",71,0,2
"294",0.46,23.40213333,26.7878609,"female",71,1.18333333333333,2
"295",0.46,26.5089,28.67663882,"female",71,1.48333333333333,2
"296",0.46,27.5775,29.64607644,"female",71,1.26666666666667,2
"297",0.46,29.08806667,30.21850014,"female",71,1.21666666666667,2
"298",0.46,30.12596667,30.46330373,"female",71,1.46666666666667,2
"299",0.34,22.06879437,24.14222713,"male",75,0,1
"300",0.34,22.96869484,25.06967192,"male",75,1.16666666666667,1
"301",0.34,24.14014272,26.5254047,"male",75,1.53333333333333,1
"302",0.34,25.07499906,27.05697136,"male",75,1.21666666666667,1
"303",0.34,26.05461596,27.75653915,"male",75,1.26666666666667,1
"304",0.34,26.2264,28.27457086,"male",75,1.48333333333333,1
"305",0.34,22.5775,26.67727382,"male",75,0,2
"306",0.34,22.88918333,24.76109841,"male",75,1.46666666666667,2
"307",0.34,23.92843333,26.9100087,"male",75,2.33333333333333,2
"308",0.34,23.62666667,27.03167213,"male",75,0.2,2
"309",0.34,25,26.18638998,"male",75,1.45,2
"310",0.55,17.2873,25.74715726,"male",85,0,1
"311",0.55,17.61995,27.24300338,"male",85,1.23333333333333,1
"312",0.55,19.51775,27.90097005,"male",85,1.43333333333333,1
"313",0.55,20.489,28.38052435,"male",85,1.33333333333333,1
"314",0.55,22.839,29.36760711,"male",85,1.23333333333333,1
"315",0.55,23.68635,29.90100701,"male",85,1.5,1
"316",0.55,13.3,25.00866221,"male",85,0,2
"317",0.55,13.4,26.13651925,"male",85,1.36666666666667,2
"318",0.55,13.6364,27.09650391,"male",85,1.45,2
"319",0.55,14.4,28.18483333,"male",85,1.46666666666667,2
"320",0.55,14.1,28.78781986,"male",85,1.3,2
"321",0.55,14.33086667,29.35437117,"male",85,1.18333333333333,2
"322",0.55,14.20193333,24.6026385,"male",85,0,3
"323",0.55,14.3235,25.02932743,"male",85,1.18333333333333,3
"324",0.55,16.01453333,26.09370026,"male",85,1.5,3
"325",0.55,16.8,26.52529876,"male",85,1.4,3
"326",0.55,16.4,26.89047242,"male",85,1.18333333333333,3
"327",0.55,17.7438,27.68789342,"male",85,1.45,3
"328",0.53,17.5,24.50024779,"male",87,0,1
"329",0.53,19.4,24.80271703,"male",87,1.08333333333333,1
"330",0.53,21.5485,26.7324655,"male",87,1.51666666666667,1
"331",0.53,21.9,26.64465194,"male",87,1.21666666666667,1
"332",0.53,21.3705,26.1435,"male",87,1.3,1
"333",0.53,18.2966,27.24072851,"male",87,1.41666666666667,1
"334",0.56,20.639,24.09285819,"male",87,0,2
"335",0.56,21.7,24.20378272,"male",87,1.2,2
"336",0.56,25.2766,25.07887499,"male",87,1.55,2
"337",0.56,26.382,27.87043566,"male",87,2.48333333333333,2
"338",0.56,23.9012,28.04348569,"male",87,1.5,2
"339",0.56,13.3692,24.28144578,"male",87,0,3
"340",0.56,16.6,25.37488141,"male",87,1.25,3
"341",0.56,18.32466667,26.90162949,"male",87,1.46666666666667,3
"342",0.56,19.7,27.79078745,"male",87,1.41666666666667,3
"343",0.52,20.4,25.06541898,"male",87,1.11666666666667,3
"344",0.56,21.80353333,24.19675167,"male",87,1.5,3
"345",0.62,20.02153333,25.47058899,"female",89,0,1
"346",0.62,21.84166667,26.42278699,"female",89,1.21666666666667,1
"347",0.62,24.6,27.99144393,"female",89,1.53333333333333,1
"348",0.62,25.47245,28.07861631,"female",89,1.21666666666667,1
"349",0.62,22.271,28.07505392,"female",89,1.16666666666667,1
"350",0.62,23.7135,28.08107661,"female",89,1.51666666666667,1
"351",0.57,21.5744,25.87944781,"female",89,0,2
"352",0.57,20.98633333,25.60426497,"female",89,1.16666666666667,2
"353",0.57,23.3095,26.84430257,"female",89,1.63333333333333,2
"354",0.57,24.3308,27.39514275,"female",89,1.11666666666667,2
"355",0.57,20.8664,26.87441178,"female",89,1.21666666666667,2
"356",0.57,20.6765,27.5018594,"female",89,1.53333333333333,2
"357",0.58,16.9699,24.59494784,"female",89,0,3
"358",0.58,18.9303,25.46718322,"female",89,1.3,3
"359",0.58,19.0392,26.7242476,"female",89,1.46666666666667,3
"360",0.58,20.9,28.21084114,"female",89,1.66666666666667,3
"361",0.58,21.50781667,28.91420289,"female",89,0.8,3
"362",0.58,22.81963333,29.06708061,"female",89,1.75,3
"363",0.84,16.62925,26.01876122,"male",91,0,1
"364",0.84,18.6,26.67636126,"male",91,1.21666666666667,1
"365",0.84,20,26.85704014,"male",91,1.46666666666667,1
"366",0.84,21.2706,27.11574586,"male",91,1.25,1
"367",0.84,21.84375,27.8443797,"male",91,1.25,1
"368",0.84,23.33333333,28.43180937,"male",91,1.4,1
"369",0.56,17.75783333,24.74597568,"male",91,0,2
"370",0.56,20.52828333,25.95326421,"male",91,1.28333333333333,2
"371",0.56,22.96716667,27.60916344,"male",91,1.56666666666667,2
"372",0.56,24.46416667,28.70073693,"male",91,1.15,2
"373",0.56,25.4755,27.71680555,"male",91,1.33333333333333,2
"374",0.56,26.1768,27.25266568,"male",91,1.45,2
"375",0.51,18.31001667,24.64887513,"male",91,0,3
"376",0.51,20.8515,26.81925182,"male",91,1.23333333333333,3
"377",0.51,24.2938,28.35484471,"male",91,1.55,3
"378",0.51,26.6,27.50002705,"male",91,1.25,3
"379",0.51,27.2877,27.08099205,"male",91,1.23333333333333,3
"380",0.51,27.5853,29.10582803,"male",91,1.48333333333333,3
"381",0.55,17.5,24.71723141,"male",93,0,1
"382",0.55,19.4926,25.07717593,"male",93,1.23333333333333,1
"383",0.55,21.74451667,26.43114291,"male",93,1.56666666666667,1
"384",0.55,21.9,26.42348747,"male",93,1.15,1
"385",0.55,21.39933333,25.77052217,"male",93,1.33333333333333,1
"386",0.55,18.153,26.70754919,"male",93,1.45,1
"387",0.47,14.79786667,24.35216978,"male",93,0,2
"388",0.47,14.90435,25.48901294,"male",93,1.13333333333333,2
"389",0.47,17.88643333,28.00310157,"male",93,1.66666666666667,2
"390",0.47,17.7,26.80587795,"male",93,1.35,2
"391",0.47,18.08816667,27.16058464,"male",93,1.21666666666667,2
"392",0.47,19.59683333,28.13264785,"male",93,1.41666666666667,2
"393",0.47,20.73733333,25.31507785,"male",93,0,3
"394",0.47,21.8,25.72241813,"male",93,1.3,3
"395",0.47,25.44393333,27.33601895,"male",93,1.46666666666667,3
"396",0.47,26.6661,27.87283725,"male",93,1.16666666666667,3
"397",0.47,26.34766667,26.69523665,"male",93,1.3,3
"398",0.47,24.1392,25.60215113,"male",93,1.41666666666667,3
"399",0.54,15.1,23.75187152,"male",99,0,1
"400",0.54,16.0712,24.54128878,"male",99,1.16666666666667,1
"401",0.54,17.6,26.12405405,"male",99,1.58333333333333,1
"402",0.54,19.91315,26.54720649,"male",99,1.18333333333333,1
"403",0.54,21.81026667,27.23718243,"male",99,1.2,1
"404",0.54,22.3338,28.21564206,"male",99,1.51666666666667,1
"405",0.52,16.90883333,24.28650131,"male",99,0,2
"406",0.52,20.24733333,25.48099356,"male",99,1.23333333333333,2
"407",0.52,22.6136,27.18070616,"male",99,1.43333333333333,2
"408",0.52,23.49651667,27.80886468,"male",99,1.33333333333333,2
"409",0.52,24.8,28.37079397,"male",99,1.2,2
"410",0.52,25.26075,29.03002903,"male",99,1.56666666666667,2
"411",0.47,19.49566667,24.30487107,"male",99,0,3
"412",0.47,20.2,24.94564742,"male",99,1.25,3
"413",0.47,23.49883333,26.7780465,"male",99,1.5,3
"414",0.47,24.5354,27.76488955,"male",99,1.23333333333333,3
"415",0.47,25.36346667,26.76609104,"male",99,1.26666666666667,3
"416",0.47,25.984,25.02071983,"male",99,1.51666666666667,3
"417",0.48,18.12686667,24.84492235,"male",105,0,1
"418",0.48,19.9,26.2504138,"male",105,1.21666666666667,1
"419",0.48,20.4085,27.56266724,"male",105,1.51666666666667,1
"420",0.48,21.214,27.6925799,"male",105,1.2,1
"421",0.48,22.06916667,27.83652172,"male",105,1.26666666666667,1
"422",0.48,21.4,28.2888418,"male",105,1.43333333333333,1
"423",0.51,15.6934,24.82197611,"male",105,0,2
"424",0.51,16.7915,26.10424738,"male",105,1.28333333333333,2
"425",0.51,17.5,26.65194699,"male",105,1.45,2
"426",0.51,17.84216667,26.91768246,"male",105,1.31666666666667,2
"427",0.51,17.5,27.44459218,"male",105,1.26666666666667,2
"428",0.51,18.19383333,27.63286872,"male",105,1.38333333333333,2
"429",0.48,17.1,25.52053498,"male",105,0,3
"430",0.48,18.1406,24.07092655,"male",105,1.21666666666667,3
"431",0.48,19.2,27.35860083,"male",105,1.51666666666667,3
